id,ndex,species,forme,type1,type2,ability1,ability2,abilityH,hp,attack,defense,spattack,spdefense,speed,total,weight,height,dex1,dex2,class,percent-male,percent-female,pre-evolution,egg-group1,egg-group2
507,507,Herdier,Herdier,Normal,,Intimidate,Sand Rush,Scrappy,65,80,65,35,65,60,370,32.4 lbs.,"2'11""",Its dense black fur grows continuously. The high cost of keeping its hard fur properly groomed makes this a troublesome Pok̩mon to train.,"This Pok̩mon obeys its master�۪s orders faithfully. However, it refuses to listen to anything said by a person it doesn�۪t respect.",Loyal Dog Pok̩mon,0.5,0.5,Lillipup,Field,
508,508,Stoutland,Stoutland,Normal,,Intimidate,Sand Rush,Scrappy,85,110,90,45,90,80,500,134.5 lbs.,"3'11""","Intelligent, good-natured, and valiant, it�۪s a trustworthy partner on rescue teams.","With this wise Pok̩mon, there could be no concern that it would ever attack people. Some parents even trust it to babysit.",Big-Hearted Pok̩mon,0.5,0.5,Herdier,Field,
509,509,Purrloin,Purrloin,Dark,,Limber,Unburden,Prankster,41,50,37,50,37,66,281,22.3 lbs.,"1'04""",,,Devious Pok̩mon,0.5,0.5,,Field,
510,510,Liepard,Liepard,Dark,,Limber,Unburden,Prankster,64,88,50,88,50,106,446,82.7 lbs.,"3'07""",,,Cruel Pok̩mon,0.5,0.5,Purrloin,Field,
511,511,Pansage,Pansage,Grass,,Gluttony,,Overgrow,50,53,48,53,48,64,316,23.1 lbs.,"2'00""",,,Grass Monkey Pok̩mon,0.875,0.125,,Field,
512,512,Simisage,Simisage,Grass,,Gluttony,,Overgrow,75,98,63,98,63,101,498,67.2 lbs.,"3'07""",,,Thorn Monkey Pok̩mon,0.875,0.125,Pansage,Field,
513,513,Pansear,Pansear,Fire,,Gluttony,,Blaze,50,53,48,53,48,64,316,24.3 lbs.,"2'00""",,,High Temp Pok̩mon,0.875,0.125,,Field,
514,514,Simisear,Simisear,Fire,,Gluttony,,Blaze,75,98,63,98,63,101,498,61.7 lbs.,"3'03""",,,Ember Pok̩mon,0.875,0.125,Pansear,Field,
515,515,Panpour,Panpour,Water,,Gluttony,,Torrent,50,53,48,53,48,64,316,29.8 lbs.,"2'00""",,,Spray Pok̩mon,0.875,0.125,,Field,
516,516,Simipour,Simipour,Water,,Gluttony,,Torrent,75,98,63,98,63,101,498,63.9 lbs.,"3'03""",,,Geyser Pok̩mon,0.875,0.125,Panpour,Field,
517,517,Munna,Munna,Psychic,,Forewarn,Synchronize,Telepathy,76,25,45,67,55,24,292,51.4 lbs.,"2'00""",,,Dream Eater Pok̩mon,0.5,0.5,,Field,
518,518,Musharna,Musharna,Psychic,,Forewarn,Synchronize,Telepathy,116,55,85,107,95,29,487,133.4 lbs.,"3'07""",,,Drowsing Pok̩mon,0.5,0.5,Munna,Field,
519,519,Pidove,Pidove,Normal,Flying,Big Pecks,Super Luck,Rivalry,50,55,50,36,30,43,264,4.6 lbs.,"1'00""",,,Tiny Pigeon Pok̩mon,0.5,0.5,,Flying,
520,520,Tranquill,Tranquill,Normal,Flying,Big Pecks,Super Luck,Rivalry,62,77,62,50,42,65,358,33.1 lbs.,"2'00""",,,Wild Pigeon Pok̩mon,0.5,0.5,Pidove,Flying,
521,521,Unfezant,Unfezant,Normal,Flying,Big Pecks,Super Luck,Rivalry,80,115,80,65,55,93,488,63.9 lbs.,"3'11""",,,Proud Pok̩mon,0.5,0.5,Tranquill,Flying,
522,522,Blitzle,Blitzle,Electric,,Lightning Rod,Motor Drive,Sap Sipper,45,60,32,50,32,76,295,65.7 lbs.,"2'07""",,,Electrified Pok̩mon,0.5,0.5,,Field,
523,523,Zebstrika,Zebstrika,Electric,,Lightning Rod,Motor Drive,Sap Sipper,75,100,63,80,63,116,497,175.3 lbs.,"5'03""",,,Thunderbolt Pok̩mon,0.5,0.5,Blitzle,Field,
524,524,Roggenrola,Roggenrola,Rock,,Sturdy,Weak Armor,Sand Force,55,75,85,25,25,15,280,39.7 lbs.,"1'04""","Born deep within the ground, it compares itself with similar species, such as Geodude and Carbink, to settle which has the hardest body.","The hexagonal cavity is its ear. It walks in the direction of sounds it hears, but if the sounds cease, it panics and topples over.",Mantle Pok̩mon,0.5,0.5,,Mineral,
525,525,Boldore,Boldore,Rock,,Sturdy,Weak Armor,Sand Force,70,105,105,50,40,20,390,224.9 lbs.,"2'11""",Its orange crystal is a mass of energy. Just one crystal fragment would provide enough fuel for a hundred dump trucks.,"It explores caves in search of underground water. It�۪s not comfortable around water, so this Pok̩mon takes great care in lapping it up.",Ore Pok̩mon,0.5,0.5,Roggenrola,Mineral,
526,526,Gigalith,Gigalith,Rock,,Sturdy,Sand Stream,Sand Force,85,135,130,60,80,25,515,573.2 lbs.,"5'07""","The blasts of energy it makes from sunbeams have terrifying power. However, it�۪s not able to fire its blasts at night or on rainy days.","Known for its hefty horsepower, this Pok̩mon is a popular partner for construction workers.",Compressed Pok̩mon,0.5,0.5,Boldore,Mineral,
527,527,Woobat,Woobat,Psychic,Flying,Unaware,Klutz,Simple,65,45,43,55,43,72,323,4.6 lbs.,"1'04""",,,Bat Pok̩mon,0.5,0.5,,Field,Flying
528,528,Swoobat,Swoobat,Psychic,Flying,Unaware,Klutz,Simple,67,57,55,77,55,114,425,23.1 lbs.,"2'11""",,,Courting Pok̩mon,0.5,0.5,Woobat,Field,Flying
529,529,Drilbur,Drilbur,Ground,,Sand Rush,Sand Force,Mold Breaker,60,85,40,30,45,68,328,18.7 lbs.,"1'00""",,,Mole Pok̩mon,0.5,0.5,,Field,
530,530,Excadrill,Excadrill,Ground,Steel,Sand Rush,Sand Force,Mold Breaker,110,135,60,50,65,88,508,89.1 lbs.,"2'04""",,,Subterrene Pok̩mon,0.5,0.5,Drilbur,Field,
531,531,Audino,Audino,Normal,,Healer,Regenerator,Klutz,103,60,86,60,86,50,445,68.3 lbs.,"3'07""",,,Hearing Pok̩mon,0.5,0.5,,Fairy,
532,532,Timburr,Timburr,Fighting,,Guts,Sheer Force,Iron Fist,75,80,55,25,35,35,305,27.6 lbs.,"2'00""",,,Muscular Pok̩mon,0.75,0.25,,Human-Like,
533,533,Gurdurr,Gurdurr,Fighting,,Guts,Sheer Force,Iron Fist,85,105,85,40,50,40,405,88.2 lbs.,"3'11""",,,Muscular Pok̩mon,0.75,0.25,Timburr,Human-Like,
534,534,Conkeldurr,Conkeldurr,Fighting,,Guts,Sheer Force,Iron Fist,105,140,95,55,65,45,505,191.8 lbs.,"4'07""",,,Muscular Pok̩mon,0.75,0.25,Gurdurr,Human-Like,
535,535,Tympole,Tympole,Water,,Swift Swim,Hydration,Water Absorb,50,50,40,50,40,64,294,9.9 lbs.,"1'08""",,,Tadpole Pok̩mon,0.5,0.5,,Water 1,
536,536,Palpitoad,Palpitoad,Water,Ground,Swift Swim,Hydration,Water Absorb,75,65,55,65,55,69,384,37.5 lbs.,"2'07""",,,Vibration Pok̩mon,0.5,0.5,Tympole,Water 1,
537,537,Seismitoad,Seismitoad,Water,Ground,Swift Swim,Poison Touch,Water Absorb,105,95,75,85,75,74,509,136.7 lbs.,"4'11""",,,Vibration Pok̩mon,0.5,0.5,Palpitoad,Water 1,
538,538,Throh,Throh,Fighting,,Guts,Inner Focus,Mold Breaker,120,100,85,30,85,45,465,122.4 lbs.,"4'03""",,,Judo Pok̩mon,1,0,,Human-Like,
539,539,Sawk,Sawk,Fighting,,Sturdy,Inner Focus,Mold Breaker,75,125,75,30,75,85,465,112.4 lbs.,"4'07""",,,Karate Pok̩mon,1,0,,Human-Like,
540,540,Sewaddle,Sewaddle,Bug,Grass,Swarm,Chlorophyll,Overcoat,45,53,70,40,60,42,310,5.5 lbs.,"1'00""",,,Sewing Pok̩mon,0.5,0.5,,Bug,
541,541,Swadloon,Swadloon,Bug,Grass,Leaf Guard,Chlorophyll,Overcoat,55,63,90,50,80,42,380,16.1 lbs.,"1'08""",,,Leaf-Wrapped Pok̩mon,0.5,0.5,Sewaddle,Bug,
542,542,Leavanny,Leavanny,Bug,Grass,Swarm,Chlorophyll,Overcoat,75,103,80,70,80,92,500,45.2 lbs.,"3'11""",,,Nurturing Pok̩mon,0.5,0.5,Swadloon,Bug,
543,543,Venipede,Venipede,Bug,Poison,Poison Point,Swarm,Speed Boost,30,45,59,30,39,57,260,11.7 lbs.,"1'04""",,,Centipede Pok̩mon,0.5,0.5,,Bug,
544,544,Whirlipede,Whirlipede,Bug,Poison,Poison Point,Swarm,Speed Boost,40,55,99,40,79,47,360,129.0 lbs.,"3'11""",,,Curlipede Pok̩mon,0.5,0.5,Venipede,Bug,
545,545,Scolipede,Scolipede,Bug,Poison,Poison Point,Swarm,Speed Boost,60,100,89,55,69,112,485,442.0 lbs.,"8'02""",,,Megapede Pok̩mon,0.5,0.5,Whirlipede,Bug,
546,546,Cottonee,Cottonee,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,40,27,60,37,50,66,280,1.3 lbs.,"1'00""","When it finds others of its kind, they all stick together. When enough of them have collected, the mass resembles a cumulonimbus cloud.","Pillows and beds stuffed with cotton exhaled by Cottonee are soft and puffy, light and airy��� altogether top quality.",Cotton Puff Pok̩mon,0.5,0.5,,Grass,Fairy
547,547,Whimsicott,Whimsicott,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,60,67,85,77,75,116,480,14.6 lbs.,"2'04""","It rides on the wind and slips into people�۪s homes. After it has turned a room into a cotton- filled mess, it giggles to itself and takes off.","This Pok̩mon appears, riding upon the wind. But if the wind gusts up, it�۪ll blow the cotton on this Pok̩mon�۪s head clean off.",Windveiled Pok̩mon,0.5,0.5,Cottonee,Grass,Fairy
548,548,Petilil,Petilil,Grass,,Chlorophyll,Own Tempo,Leaf Guard,45,35,50,70,50,30,280,14.6 lbs.,"1'08""","Although the leaves on its head are bitter enough to cause dizziness, they provide relief from weariness���even more so when boiled.","By pruning the leaves on its head with regularity, this Pok̩mon can be grown into a fine plump shape.",Bulb Pok̩mon,0,1,,Grass,
549,549,Lilligant,Lilligant,Grass,,Chlorophyll,Own Tempo,Leaf Guard,70,60,75,110,75,90,480,35.9 lbs.,"3'07""","No matter how much time and money is spent raising it, its flowers are the most beautiful when they bloom in the wild.","As soon as it finds a male to be its partner, the beautiful flower on its head darkens, droops, and withers away.",Flowering Pok̩mon,0,1,Petilil,Grass,
550,550,Basculin,Basculin (Red-Striped Form),Water,,Reckless,Adaptability,Mold Breaker,70,92,65,80,55,98,460,39.7 lbs.,"3'03""",,,Hostile Pok̩mon,0.5,0.5,,Water 2,
551,551,Sandile,Sandile,Ground,Dark,Intimidate,Moxie,Anger Point,50,72,35,35,35,65,292,33.5 lbs.,"2'04""",It submerges itself in sand and moves as if swimming. This wise behavior keeps its enemies from finding it and maintains its temperature.,It conceals itself in the sand and chomps down on the legs of any prey that unwarily walk over it. Its favorite food is Trapinch.,Desert Croc Pok̩mon,0.5,0.5,,Field,
552,552,Krokorok,Krokorok,Ground,Dark,Intimidate,Moxie,Anger Point,60,82,45,45,45,74,351,73.6 lbs.,"3'03""","They move in groups of a few individuals. A female is often the leader of the group, and the males will gather food.","Thanks to the special membrane covering its eyes, it can see its surroundings clearly, even in the middle of the night.",Desert Croc Pok̩mon,0.5,0.5,Sandile,Field,
553,553,Krookodile,Krookodile,Ground,Dark,Intimidate,Moxie,Anger Point,95,117,80,65,70,92,519,212.3 lbs.,"4'11""","Its unique faculty of sight can detect small prey more than 30 miles away, even in the midst of a sandstorm.","After clamping down with its powerful jaws, it twists its body around to rip its prey in half.",Intimidation Pok̩mon,0.5,0.5,Krokorok,Field,
554,554,Darumaka,Darumaka,Fire,,Hustle,,Inner Focus,70,90,45,15,45,50,315,82.7 lbs.,"2'00""",,,Zen Charm Pok̩mon,0.5,0.5,,Field,
555,555,Darmanitan,Darmanitan (Standard Mode),Fire,,Sheer Force,,Zen Mode,105,140,55,30,55,95,480,204.8 lbs.,"4'03""",,,Blazing Pok̩mon,0.5,0.5,Darumaka,Field,
556,556,Maractus,Maractus,Grass,,Water Absorb,Chlorophyll,Storm Drain,75,86,67,106,67,60,461,61.7 lbs.,"3'03""",,,Cactus Pok̩mon,0.5,0.5,,Grass,
557,557,Dwebble,Dwebble,Bug,Rock,Sturdy,Shell Armor,Weak Armor,50,65,85,35,35,55,325,32.0 lbs.,"1'00""",,,Rock Inn Pok̩mon,0.5,0.5,,Bug,Mineral
558,558,Crustle,Crustle,Bug,Rock,Sturdy,Shell Armor,Weak Armor,70,105,125,65,75,45,485,440.9 lbs.,"4'07""",,,Stone Home Pok̩mon,0.5,0.5,Dwebble,Bug,Mineral
559,559,Scraggy,Scraggy,Dark,Fighting,Shed Skin,Moxie,Intimidate,50,75,70,35,70,48,348,26.0 lbs.,"2'00""",,,Shedding Pok̩mon,0.5,0.5,,Field,Dragon
560,560,Scrafty,Scrafty,Dark,Fighting,Shed Skin,Moxie,Intimidate,65,90,115,45,115,58,488,66.1 lbs.,"3'07""",,,Hoodlum Pok̩mon,0.5,0.5,Scraggy,Field,Dragon
561,561,Sigilyph,Sigilyph,Psychic,Flying,Wonder Skin,Magic Guard,Tinted Lens,72,58,80,103,80,97,490,30.9 lbs.,"4'07""",,,Avianoid Pok̩mon,0.5,0.5,,Flying,
562,562,Yamask,Yamask,Ghost,,Mummy,,,38,30,85,55,65,30,303,3.3 lbs.,"1'08""",,,Spirit Pok̩mon,0.5,0.5,,Mineral,Amorphous
563,563,Cofagrigus,Cofagrigus,Ghost,,Mummy,,,58,50,145,95,105,30,483,168.7 lbs.,"5'07""",,,Coffin Pok̩mon,0.5,0.5,Yamask,Mineral,Amorphous
564,564,Tirtouga,Tirtouga,Water,Rock,Solid Rock,Sturdy,Swift Swim,54,78,103,53,45,22,355,36.4 lbs.,"2'04""","Based on studies of its skeletal structure, it can apparently dive to ocean depths of over half a mile.","Reputed to be the ancestor of most turtle Pok̩mon, it lived in warm seas approximately a hundred million years ago.",Prototurtle Pok̩mon,0.875,0.125,,Water 1,Water 3
565,565,Carracosta,Carracosta,Water,Rock,Solid Rock,Sturdy,Swift Swim,74,108,133,83,65,32,495,178.6 lbs.,"3'11""",It constructed its sturdy shell by crunching and swallowing the hard shells or bones of its prey.,"Active both on land and in the sea, this Pok̩mon drags its land-based prey into the water to finish it off.",Prototurtle Pok̩mon,0.875,0.125,Tirtouga,Water 1,Water 3
566,566,Archen,Archen,Rock,Flying,Defeatist,,,55,112,45,74,45,70,401,20.9 lbs.,"1'08""",It is the ancestor of all bird Pok̩mon. Archen itself could not actually fly but moved by hopping from treetop to treetop.,"To all appearances flightless, it was able to glide down from tall treetops to snag its prey.",First Bird Pok̩mon,0.875,0.125,,Flying,Water 3
567,567,Archeops,Archeops,Rock,Flying,Defeatist,,,75,140,65,112,65,110,567,70.5 lbs.,"4'07""","Although apparently able to fly, they tended to run along the ground, averaging speeds of roughly 25 mph.","They hunted in flocks. When one Archeops had the prey cornered, another would swoop on it.",First Bird Pok̩mon,0.875,0.125,Archen,Flying,Water 3
568,568,Trubbish,Trubbish,Poison,,Stench,Sticky Hold,Aftermath,50,50,62,40,62,65,329,68.3 lbs.,"2'00""","Unsanitary places are what they like best. They can be spotted in Alola, often with Grimer in hot pursuit.",It gorges on trash until its stomach is full. Then it belches toxic gas. An unlucky whiff of gas will put a person in the hospital.,Trash Bag Pok̩mon,0.5,0.5,,Mineral,
569,569,Garbodor,Garbodor,Poison,,Stench,Weak Armor,Aftermath,80,95,82,60,82,75,474,236.6 lbs.,"6'03""","Beware the poisonous liquid it shoots from its right arm. If even a little of it gets on you, you�۪ll experience the effects of the unidentified toxin.","For a time, their numbers increased explosively in Alola. Since the arrival of Grimer, their population has decreased dramatically.",Trash Heap Pok̩mon,0.5,0.5,Trubbish,Mineral,
570,570,Zorua,Zorua,Dark,,Illusion,,,40,65,40,80,40,65,330,27.6 lbs.,"2'04""",,,Tricky Fox Pok̩mon,0.875,0.125,,Field,
571,571,Zoroark,Zoroark,Dark,,Illusion,,,60,105,60,120,60,105,510,178.8 lbs.,"5'03""",,,Illusion Fox Pok̩mon,0.875,0.125,Zorua,Field,
572,572,Minccino,Minccino,Normal,,Cute Charm,Technician,Skill Link,55,50,40,40,40,75,300,12.8 lbs.,"1'04""",,,Chinchilla Pok̩mon,0.5,0.5,,Field,
573,573,Cinccino,Cinccino,Normal,,Cute Charm,Technician,Skill Link,75,95,60,65,60,115,470,16.5 lbs.,"1'08""",,,Scarf Pok̩mon,0.5,0.5,Minccino,Field,
574,574,Gothita,Gothita,Psychic,,Frisk,Competitive,Shadow Tag,45,30,50,55,65,45,290,12.8 lbs.,"1'04""",,,Fixation Pok̩mon,0.5,0.5,,Human-Like,
575,575,Gothorita,Gothorita,Psychic,,Frisk,Competitive,Shadow Tag,60,45,70,75,85,55,390,39.7 lbs.,"2'04""",,,Manipulate Pok̩mon,0.5,0.5,Gothita,Human-Like,
576,576,Gothitelle,Gothitelle,Psychic,,Frisk,Competitive,Shadow Tag,70,55,95,95,110,65,490,97.0 lbs.,"4'11""",,,Astral Body Pok̩mon,0.5,0.5,Gothorita,Human-Like,
577,577,Solosis,Solosis,Psychic,,Overcoat,Magic Guard,Regenerator,45,30,40,105,50,20,290,2.2 lbs.,"1'00""",,,Cell Pok̩mon,0.5,0.5,,Amorphous,
578,578,Duosion,Duosion,Psychic,,Overcoat,Magic Guard,Regenerator,65,40,50,125,60,30,370,17.6 lbs.,"2'00""",,,Mitosis Pok̩mon,0.5,0.5,Solosis,Amorphous,
579,579,Reuniclus,Reuniclus,Psychic,,Overcoat,Magic Guard,Regenerator,110,65,75,125,85,30,490,44.3 lbs.,"3'03""",,,Multiplying Pok̩mon,0.5,0.5,Duosion,Amorphous,
580,580,Ducklett,Ducklett,Water,Flying,Keen Eye,Big Pecks,Hydration,62,44,50,44,50,55,305,12.1 lbs.,"1'08""",,,Water Bird Pok̩mon,0.5,0.5,,Water 1,Flying
581,581,Swanna,Swanna,Water,Flying,Keen Eye,Big Pecks,Hydration,75,87,63,87,63,98,473,53.4 lbs.,"4'03""",,,White Bird Pok̩mon,0.5,0.5,Ducklett,Water 1,Flying
582,582,Vanillite,Vanillite,Ice,,Ice Body,Snow Cloak,Weak Armor,36,50,50,65,60,44,305,12.6 lbs.,"1'04""","Born of an icicle, this Pok̩mon uses its frosty breath to make ice crystals, causing snow to fall.",It feels pleasantly cool when embraced. This Pok̩mon is treasured by households in warm regions.,Fresh Snow Pok̩mon,0.5,0.5,,Mineral,
583,583,Vanillish,Vanillish,Ice,,Ice Body,Snow Cloak,Weak Armor,51,65,65,80,75,59,395,90.4 lbs.,"3'07""","Hot days cause its body to melt. It can be restored by refreezing it, but the process leaves its body slightly warped.","This Pok̩mon has existed since the Ice Age. It controls particles of ice, freezes its opponents, and then shatters them with a headbutt.",Icy Snow Pok̩mon,0.5,0.5,Vanillite,Mineral,
584,584,Vanilluxe,Vanilluxe,Ice,,Ice Body,Snow Warning,Weak Armor,71,95,85,110,95,79,535,126.8 lbs.,"4'03""","Each of its two heads has a brain, and when they are in agreement, it attacks its enemies by exhaling a violent blizzard.","Even if it loses one of its heads, it can live relatively problem-free. It makes snow clouds inside its body.",Snowstorm Pok̩mon,0.5,0.5,Vanillish,Mineral,
585,585,Deerling,Deerling (Spring Form),Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,60,60,50,40,50,75,335,43.0 lbs.,"2'00""",,,Season Pok̩mon,0.5,0.5,,Field,
586,586,Sawsbuck,Sawsbuck (Spring Form),Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,80,100,70,60,70,95,475,203.9 lbs.,"6'03""",,,Season Pok̩mon,0.5,0.5,Deerling,Field,
587,587,Emolga,Emolga,Electric,Flying,Static,,Motor Drive,55,75,60,75,60,103,428,11.0 lbs.,"1'04""","It glides using its cape-like membrane. Electrical energy scatters from it, shocking its friends and foes alike.",It grills berries and bug Pok̩mon with electric shocks and makes a meal of them. It usually nests in the holes gouged in trees by Pikipek.,Sky Squirrel Pok̩mon,0.5,0.5,,Field,
588,588,Karrablast,Karrablast,Bug,,Swarm,Shed Skin,No Guard,50,75,45,40,45,60,315,13.0 lbs.,"1'08""",,,Clamping Pok̩mon,0.5,0.5,,Bug,
589,589,Escavalier,Escavalier,Bug,Steel,Swarm,Shell Armor,Overcoat,70,135,105,60,105,20,495,72.8 lbs.,"3'03""",,,Cavalry Pok̩mon,0.5,0.5,Karrablast,Bug,
590,590,Foongus,Foongus,Grass,Poison,Effect Spore,,Regenerator,69,55,45,55,55,15,294,2.2 lbs.,"0'08""",,,Mushroom Pok̩mon,0.5,0.5,,Grass,
591,591,Amoonguss,Amoonguss,Grass,Poison,Effect Spore,,Regenerator,114,85,70,85,80,30,464,23.1 lbs.,"2'00""",,,Mushroom Pok̩mon,0.5,0.5,Foongus,Grass,
592,592,Frillish,Frillish,Water,Ghost,Water Absorb,Cursed Body,Damp,55,40,50,65,85,40,335,72.8 lbs.,"3'11""",,,Floating Pok̩mon,0.5,0.5,,Amorphous,
593,593,Jellicent,Jellicent,Water,Ghost,Water Absorb,Cursed Body,Damp,100,60,70,85,105,60,480,297.6 lbs.,"7'03""",,,Floating Pok̩mon,0.5,0.5,Frillish,Amorphous,
594,594,Alomomola,Alomomola,Water,,Healer,Hydration,Regenerator,165,75,80,40,45,65,470,69.7 lbs.,"3'11""",It uses its special mucus to close the wounds of injured Pok̩mon. The reason for this behavior remains unknown.,They float upon the open sea. Many water Pok̩mon gather in the area around Alomomola.,Caring Pok̩mon,0.5,0.5,,Water 1,Water 2
595,595,Joltik,Joltik,Bug,Electric,Compound Eyes,Unnerve,Swarm,50,47,50,57,50,65,319,1.3 lbs.,"0'04""",,,Attaching Pok̩mon,0.5,0.5,,Bug,
596,596,Galvantula,Galvantula,Bug,Electric,Compound Eyes,Unnerve,Swarm,70,77,60,97,60,108,472,31.5 lbs.,"2'07""",,,EleSpider Pok̩mon,0.5,0.5,Joltik,Bug,
597,597,Ferroseed,Ferroseed,Grass,Steel,Iron Barbs,,,44,50,91,24,86,10,305,41.4 lbs.,"2'00""",,,Thorn Seed Pok̩mon,0.5,0.5,,Grass,Mineral
598,598,Ferrothorn,Ferrothorn,Grass,Steel,Iron Barbs,,Anticipation,74,94,131,54,116,20,489,242.5 lbs.,"3'03""",,,Thorn Pod Pok̩mon,0.5,0.5,Ferroseed,Grass,Mineral
599,599,Klink,Klink,Steel,,Plus,Minus,Clear Body,40,55,70,45,60,30,300,46.3 lbs.,"1'00""",,,Gear Pok̩mon,0.5,0.5,,Mineral,
600,600,Klang,Klang,Steel,,Plus,Minus,Clear Body,60,80,95,70,85,50,440,112.4 lbs.,"2'00""",,,Gear Pok̩mon,0.5,0.5,Klink,Mineral,
601,601,Klinklang,Klinklang,Steel,,Plus,Minus,Clear Body,60,100,115,70,85,90,520,178.6 lbs.,"2'00""",,,Gear Pok̩mon,0.5,0.5,Klang,Mineral,
602,602,Tynamo,Tynamo,Electric,,Levitate,,,35,55,40,45,40,60,275,0.7 lbs.,"0'08""",,,EleFish Pok̩mon,0.5,0.5,,Amorphous,
603,603,Eelektrik,Eelektrik,Electric,,Levitate,,,65,85,70,75,70,40,405,48.5 lbs.,"3'11""",,,EleFish Pok̩mon,0.5,0.5,Tynamo,Amorphous,
604,604,Eelektross,Eelektross,Electric,,Levitate,,,85,115,80,105,80,50,515,177.5 lbs.,"6'11""",,,EleFish Pok̩mon,0.5,0.5,Eelektrik,Amorphous,
605,605,Elgyem,Elgyem,Psychic,,Telepathy,Synchronize,Analytic,55,55,55,85,55,30,335,19.8 lbs.,"1'08""",,,Cerebral Pok̩mon,0.5,0.5,,Human-Like,
606,606,Beheeyem,Beheeyem,Psychic,,Telepathy,Synchronize,Analytic,75,75,75,125,95,40,485,76.1 lbs.,"3'03""",,,Cerebral Pok̩mon,0.5,0.5,Elgyem,Human-Like,
607,607,Litwick,Litwick,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,50,30,55,65,55,20,275,6.8 lbs.,"1'00""",,,Candle Pok̩mon,0.5,0.5,,Amorphous,
608,608,Lampent,Lampent,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,60,40,60,95,60,55,370,28.7 lbs.,"2'00""",,,Lamp Pok̩mon,0.5,0.5,Litwick,Amorphous,
609,609,Chandelure,Chandelure,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,60,55,90,145,90,80,520,75.6 lbs.,"3'03""",,,Luring Pok̩mon,0.5,0.5,Lampent,Amorphous,
610,610,Axew,Axew,Dragon,,Rivalry,Mold Breaker,Unnerve,46,87,60,30,40,57,320,39.7 lbs.,"2'00""",,,Tusk Pok̩mon,0.5,0.5,,Monster,Dragon
611,611,Fraxure,Fraxure,Dragon,,Rivalry,Mold Breaker,Unnerve,66,117,70,40,50,67,410,79.4 lbs.,"3'03""",,,Axe Jaw Pok̩mon,0.5,0.5,Axew,Monster,Dragon
612,612,Haxorus,Haxorus,Dragon,,Rivalry,Mold Breaker,Unnerve,76,147,90,60,70,97,540,232.6 lbs.,"5'11""",,,Axe Jaw Pok̩mon,0.5,0.5,Fraxure,Monster,Dragon
613,613,Cubchoo,Cubchoo,Ice,,Snow Cloak,Slush Rush,Rattled,55,70,40,60,40,40,305,18.7 lbs.,"1'08""",,,Chill Pok̩mon,0.5,0.5,,Field,
614,614,Beartic,Beartic,Ice,,Snow Cloak,Slush Rush,Swift Swim,95,130,80,70,80,50,505,573.2 lbs.,"8'06""",,,Freezing Pok̩mon,0.5,0.5,Cubchoo,Field,
615,615,Cryogonal,Cryogonal,Ice,,Levitate,,,80,50,50,95,135,105,515,326.3 lbs.,"3'07""",,,Crystallizing Pok̩mon,,,,Mineral,
616,616,Shelmet,Shelmet,Bug,,Hydration,Shell Armor,Overcoat,50,40,85,40,65,25,305,17.0 lbs.,"1'04""",,,Snail Pok̩mon,0.5,0.5,,Bug,
617,617,Accelgor,Accelgor,Bug,,Hydration,Sticky Hold,Unburden,80,70,40,100,60,145,495,55.8 lbs.,"2'07""",,,Shell Out Pok̩mon,0.5,0.5,Shelmet,Bug,
618,618,Stunfisk,Stunfisk,Ground,Electric,Static,Limber,Sand Veil,109,66,84,81,99,32,471,24.3 lbs.,"2'04""",,,Trap Pok̩mon,0.5,0.5,,Water 1,Amorphous
619,619,Mienfoo,Mienfoo,Fighting,,Inner Focus,Regenerator,Reckless,45,85,50,55,50,65,350,44.1 lbs.,"2'11""",,,Martial Arts Pok̩mon,0.5,0.5,,Field,Human-Like
620,620,Mienshao,Mienshao,Fighting,,Inner Focus,Regenerator,Reckless,65,125,60,95,60,105,510,78.3 lbs.,"4'07""",,,Martial Arts Pok̩mon,0.5,0.5,Mienfoo,Field,Human-Like
621,621,Druddigon,Druddigon,Dragon,,Rough Skin,Sheer Force,Mold Breaker,77,120,90,60,90,48,485,306.4 lbs.,"5'03""",,,Cave Pok̩mon,0.5,0.5,,Dragon,Monster
622,622,Golett,Golett,Ground,Ghost,Iron Fist,Klutz,No Guard,59,74,50,35,50,35,303,202.8 lbs.,"3'03""",,,Automaton Pok̩mon,,,,Mineral,
623,623,Golurk,Golurk,Ground,Ghost,Iron Fist,Klutz,No Guard,89,124,80,55,80,55,483,727.5 lbs.,"9'02""",,,Automaton Pok̩mon,,,Golett,Mineral,
624,624,Pawniard,Pawniard,Dark,Steel,Defiant,Inner Focus,Pressure,45,85,70,40,40,60,340,22.5 lbs.,"1'08""",,,Sharp Blade Pok̩mon,0.5,0.5,,Human-Like,
625,625,Bisharp,Bisharp,Dark,Steel,Defiant,Inner Focus,Pressure,65,125,100,60,70,70,490,154.3 lbs.,"5'03""",,,Sword Blade Pok̩mon,0.5,0.5,Pawniard,Human-Like,
